playerID,year,tmID,GP,GS,minutes,points,oRebounds,dRebounds,rebounds,assists,steals,blocks,turnovers,PF,fgAttempted,fgMade,ftAttempted,ftMade,threeAttempted,threeMade,dq,PostGP,PostGS,PostMinutes,PostPoints,PostoRebounds,PostdRebounds,PostRebounds,PostAssists,PostSteals,PostBlocks,PostTurnovers,PostPF,PostfgAttempted,PostfgMade,PostftAttempted,PostftMade,PostthreeAttempted,PostthreeMade,PostDQ
mooreta01w,5,PHO,57,23,912,278,29,82,111,100,39,15,101,95,239,90,82,70,86,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mooreta01w,6,NYL,58,0,563,136,13,43,56,65,35,15,50,60,103,46,48,41,19,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mooreta01w,7,LAS,39,0,435,93,7,28,35,59,26,9,38,52,67,31,31,27,13,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mooreta01w,8,HOU,41,33,682,217,16,62,78,71,33,8,42,65,151,72,68,55,52,18,0,4,4,87,31,3,9,12,11,3,1,8,7,19,10,11,7,6,4,0
moosca01w,3,MIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mosbybe01w,8,WAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mosbybe01w,9,WAS,28,0,279,83,25,53,78,10,8,6,19,22,62,30,28,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mosbybe01w,10,WAS,52,1,462,131,42,89,131,12,10,13,31,42,113,50,40,31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
moweje01w,2,POR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
moweje01w,3,POR,5,0,17,6,1,2,3,0,0,1,2,5,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
moweje01w,4,LAS,10,0,33,7,2,2,4,0,0,1,3,8,4,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mulitna01w,1,UTA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
