year,tmID,rank,playoff,homeW,homeL,awayW,awayL,confW,confL,min,attend,num_playoff_appearances,total_first_round_won,total_first_round_lost,total_semis_won,total_semis_lost,total_finals_won,total_finals_lost,mean_won,mean_lost,confID_EA,confID_WE,GP,GS,minutes,points,oRebounds,dRebounds,rebounds,assists,steals,blocks,turnovers,PF,fgAttempted,fgMade,ftAttempted,ftMade,threeAttempted,threeMade,dq,PostGP,PostGS,PostMinutes,PostPoints,PostoRebounds,PostdRebounds,PostRebounds,PostAssists,PostSteals,PostBlocks,PostTurnovers,PostPF,PostfgAttempted,PostfgMade,PostftAttempted,PostftMade,PostthreeAttempted,PostthreeMade,PostDQ,height,weight,award_count_x,won,lost,post_wins,post_losses,award_count_y
1,CHA,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.6923076923077,162.62594268476622,0.0,0.0,0.0,0.0,0.0,0.0
1,CLE,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.92307692307692,162.84615384615384,0.0,0.0,0.0,0.0,0.0,0.0
1,DET,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.46153846153847,162.92307692307693,0.0,0.0,0.0,0.0,0.0,0.0
1,HOU,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.08333333333333,161.1781045751634,0.0,0.0,0.0,0.0,0.0,0.0
1,IND,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.33333333333333,168.0,0.0,0.0,0.0,0.0,0.0,0.0
1,LAS,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.63636363636364,165.0909090909091,0.0,0.0,0.0,0.0,0.0,0.0
1,MIA,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.53846153846153,162.30769230769232,0.0,0.0,0.0,0.0,0.0,0.0
1,MIN,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.76923076923077,167.46153846153845,0.0,0.0,0.0,0.0,0.0,0.0
1,NYL,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.23076923076923,173.62594268476622,0.0,0.0,0.0,0.0,0.0,0.0
1,ORL,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.15384615384616,166.76923076923077,0.0,0.0,0.0,0.0,0.0,0.0
1,PHO,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.21428571428571,165.5,0.0,0.0,0.0,0.0,0.0,0.0
1,POR,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.16666666666667,167.41666666666666,0.0,0.0,0.0,0.0,0.0,0.0
1,SAC,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.16666666666667,162.25,0.0,0.0,0.0,0.0,0.0,0.0
1,SEA,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.21428571428571,161.64285714285714,0.0,0.0,0.0,0.0,0.0,0.0
1,UTA,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.47724089635855,168.57142857142858,0.0,0.0,0.0,0.0,0.0,0.0
1,WAS,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.46153846153847,169.46153846153845,0.0,0.0,0.0,0.0,0.0,0.0
2,CHA,8.0,1,5.0,11.0,3.0,13.0,5.0,16.0,6475.0,90963.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,24.0,1.0,0.0,21.666666666666668,10.166666666666666,477.4166666666667,163.25,18.25,40.583333333333336,58.833333333333336,47.5,18.5,5.5,35.166666666666664,49.083333333333336,139.0,57.166666666666664,46.0,35.416666666666664,42.583333333333336,13.5,0.5,1.0,0.3333333333333333,15.166666666666666,3.8333333333333335,1.0,1.5833333333333333,2.5833333333333335,1.0833333333333333,0.5833333333333334,0.16666666666666666,1.0,2.1666666666666665,3.9166666666666665,1.25,1.3333333333333333,0.8333333333333334,2.1666666666666665,0.5,0.0,71.5,157.6781045751634,0.0,9.0,23.0,0.0,0.0,0.0
2,CLE,2.0,1,13.0,3.0,4.0,12.0,13.0,8.0,6500.0,137532.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,17.0,15.0,1.0,0.0,21.466666666666665,8.666666666666666,418.73333333333335,138.93333333333334,22.066666666666666,40.2,62.266666666666666,31.066666666666666,17.4,6.2,32.53333333333333,44.13333333333333,116.46666666666667,51.733333333333334,37.266666666666666,27.8,23.066666666666666,7.666666666666667,0.4666666666666667,3.8,1.6,70.53333333333333,21.266666666666666,4.6,8.2,12.8,4.8,3.1333333333333333,0.8,4.333333333333333,5.733333333333333,19.733333333333334,8.133333333333333,5.8,4.066666666666666,3.7333333333333334,0.9333333333333333,0.0,71.86666666666666,170.93333333333334,0.0,17.0,15.0,3.0,3.0,0.0
2,DET,5.0,0,8.0,8.0,6.0,10.0,10.0,11.0,6425.0,107289.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,18.0,1.0,0.0,16.666666666666668,12.5,401.6666666666667,148.83333333333334,22.0,39.75,61.75,31.333333333333332,15.166666666666666,4.75,32.083333333333336,39.416666666666664,126.16666666666667,55.666666666666664,45.583333333333336,33.916666666666664,13.666666666666666,3.5833333333333335,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.83333333333333,164.58333333333334,0.0,0.0,0.0,0.0,0.0,0.0
2,HOU,2.0,1,14.0,2.0,13.0,3.0,17.0,4.0,6475.0,196077.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,27.0,5.0,0.0,1.0,16.363636363636363,8.545454545454545,322.90909090909093,103.54545454545455,18.363636363636363,39.27272727272727,57.63636363636363,14.454545454545455,12.090909090909092,5.0,18.90909090909091,31.272727272727273,80.27272727272727,37.72727272727273,26.727272727272727,21.545454545454547,19.181818181818183,6.545454545454546,0.18181818181818182,2.8181818181818183,1.6363636363636365,68.9090909090909,16.181818181818183,4.363636363636363,7.636363636363637,12.0,2.6363636363636362,2.4545454545454546,1.0909090909090908,3.909090909090909,5.545454545454546,13.909090909090908,6.090909090909091,3.0,2.727272727272727,3.3636363636363638,1.2727272727272727,0.0,71.9090909090909,160.28520499108734,0.09090909090909091,27.0,5.0,6.0,0.0,0.0
2,IND,7.0,0,5.0,11.0,4.0,12.0,7.0,14.0,6425.0,180270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,23.0,1.0,0.0,22.615384615384617,10.76923076923077,478.38461538461536,158.46153846153845,21.692307692307693,48.07692307692308,69.76923076923077,34.23076923076923,21.307692307692307,7.076923076923077,34.53846153846154,49.15384615384615,137.30769230769232,56.38461538461539,40.38461538461539,30.384615384615383,42.69230769230769,15.307692307692308,0.6923076923076923,0.46153846153846156,0.07692307692307693,5.3076923076923075,1.6153846153846154,0.38461538461538464,0.7692307692307693,1.1538461538461537,0.3076923076923077,0.0,0.07692307692307693,0.15384615384615385,0.3076923076923077,1.8461538461538463,0.7692307692307693,0.07692307692307693,0.0,0.38461538461538464,0.07692307692307693,0.0,71.92307692307692,166.76923076923077,0.0,0.0,0.0,0.0,0.0,0.0
2,LAS,1.0,1,15.0,1.0,13.0,3.0,17.0,4.0,6450.0,105005.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,28.0,4.0,0.0,1.0,24.636363636363637,17.181818181818183,607.6363636363636,234.8181818181818,31.181818181818183,79.81818181818181,111.0,55.54545454545455,26.0,15.636363636363637,43.63636363636363,68.72727272727273,189.45454545454547,85.81818181818181,64.72727272727273,50.72727272727273,35.36363636363637,12.454545454545455,1.4545454545454546,2.6363636363636362,1.8181818181818181,64.72727272727273,25.272727272727273,3.6363636363636362,7.545454545454546,11.181818181818182,6.363636363636363,1.9090909090909092,1.0,4.909090909090909,6.0,20.363636363636363,9.181818181818182,5.454545454545454,4.454545454545454,5.545454545454546,2.4545454545454546,0.09090909090909091,70.9090909090909,163.1818181818182,0.0,28.0,4.0,2.0,2.0,1.0
2,MIA,6.0,1,9.0,7.0,4.0,12.0,9.0,12.0,6475.0,127721.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,19.0,1.0,0.0,20.166666666666668,13.666666666666666,465.5,135.66666666666666,26.333333333333332,43.5,69.83333333333333,30.25,19.166666666666668,5.0,32.166666666666664,45.333333333333336,126.75,49.416666666666664,47.5,32.333333333333336,17.25,4.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.91666666666667,160.33333333333334,0.0,13.0,19.0,0.0,0.0,0.0
2,MIN,6.0,0,8.0,8.0,7.0,9.0,5.0,16.0,6425.0,116638.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,17.0,0.0,1.0,16.916666666666668,7.5,318.25,132.75,12.75,27.666666666666668,40.416666666666664,23.583333333333332,12.25,4.0,25.583333333333332,35.916666666666664,110.5,46.333333333333336,33.666666666666664,26.083333333333332,37.5,14.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.25,173.33333333333334,0.08333333333333333,15.0,17.0,0.0,0.0,0.0
