total_wins,total_losses,PostoRebounds,PostdRebounds,PostRebounds,PostSteals,PostPF,PostftAttempted,W,L,playoff,year,tmID,confID_EA,confID_WE
0.0,0.0,0.3461538461538461,0.8461538461538461,1.1923076923076923,0.1923076923076923,0.9230769230769232,0.8461538461538461,0.0,0.0,0,3,PHO,0.0,1.0
0.0,0.0,0.375,0.9166666666666666,1.2916666666666667,0.25,1.0,0.9166666666666666,0.0,0.0,0,3,POR,0.0,1.0
0.0,0.0,2.75,6.0,8.75,2.0416666666666665,5.041666666666667,6.125,0.0,0.0,0,3,SAC,0.0,1.0
0.0,0.0,0.0833333333333333,0.7083333333333334,0.7916666666666666,0.0,0.3333333333333333,0.1666666666666666,0.0,0.0,1,3,SEA,0.0,1.0
0.0,0.0,1.0555555555555556,2.7222222222222223,3.7777777777777777,0.7777777777777778,2.7777777777777777,3.7222222222222223,0.0,2.0,1,3,UTA,0.0,1.0
0.0,0.0,0.4090909090909091,0.9090909090909092,1.318181818181818,0.4545454545454545,0.9090909090909092,1.0,0.0,2.0,1,3,WAS,1.0,0.0
2.0,0.0,3.6,8.2,11.8,3.0,7.65,5.2,4.0,6.0,1,4,CHA,1.0,0.0
0.0,1.0,1.35,1.95,3.3,1.15,1.75,1.6,1.0,2.0,1,4,CLE,1.0,0.0
0.0,0.0,0.35,0.45,0.8,0.25,0.35,0.0,0.0,0.0,1,4,CON,1.0,0.0
0.0,0.0,0.3181818181818182,1.2272727272727273,1.5454545454545454,0.4090909090909091,1.0,1.5909090909090908,0.0,0.0,1,4,DET,1.0,0.0
0.0,0.5,3.8125,8.1875,12.0,2.6875,6.0,7.125,1.0,4.0,1,4,HOU,0.0,1.0
0.0,0.0,3.2121212121212124,4.409090909090909,7.621212121212121,1.0454545454545454,2.924242424242424,3.5757575757575752,0.0,0.0,0,4,IND,1.0,0.0
6.0,0.0,4.6923076923076925,12.576923076923077,17.26923076923077,4.384615384615385,9.846153846153848,9.384615384615383,12.0,1.0,1,4,LAS,0.0,1.0
0.0,0.0,0.2222222222222222,0.3333333333333333,0.5555555555555556,0.2777777777777778,0.6111111111111112,0.6111111111111112,0.0,0.0,1,4,MIN,0.0,1.0
0.0,0.0,6.111111111111111,15.055555555555555,21.166666666666668,4.888888888888889,11.11111111111111,12.0,0.0,0.0,0,4,NYL,1.0,0.0
0.0,0.0,0.25,0.4285714285714285,0.6785714285714286,0.0357142857142857,0.0357142857142857,0.2142857142857142,0.0,0.0,0,4,PHO,0.0,1.0
2.0,1.0,2.555555555555556,4.444444444444445,7.0,1.3888888888888888,3.7777777777777777,5.222222222222222,3.0,2.0,1,4,SAC,0.0,1.0
0.0,0.0,1.7222222222222223,7.166666666666667,8.88888888888889,1.7037037037037035,5.777777777777778,6.796296296296296,0.0,0.0,0,4,SAS,0.0,1.0
0.0,0.0,0.6410256410256411,1.6153846153846154,2.2564102564102564,1.0384615384615383,1.91025641025641,1.858974358974359,0.0,0.0,0,4,SEA,0.0,1.0
0.0,0.0,2.3833333333333333,4.5,6.883333333333333,1.4333333333333331,4.916666666666667,4.05,0.0,0.0,0,4,WAS,1.0,0.0
0.0,0.0,2.25,4.3,6.55,1.2,3.45,2.5,0.0,0.0,0,5,CHA,1.0,0.0
2.0,0.0,1.388888888888889,4.527777777777778,5.916666666666667,1.3333333333333333,4.333333333333333,3.8333333333333335,2.0,2.0,1,5,CON,1.0,0.0
6.0,0.0,6.166666666666667,12.833333333333334,19.0,2.851851851851852,8.666666666666666,9.407407407407408,6.0,2.0,1,5,DET,1.0,0.0
0.0,0.0,2.3461538461538463,4.846153846153846,7.1923076923076925,1.6538461538461535,3.5384615384615383,3.615384615384616,0.0,0.0,0,5,HOU,0.0,1.0
0.0,0.0,1.9090909090909087,2.909090909090909,4.818181818181818,0.5909090909090909,2.090909090909091,2.590909090909091,0.0,0.0,0,5,IND,1.0,0.0
5.0,0.5,7.625,23.0625,30.6875,8.125,18.75,19.0625,11.0,4.0,1,5,LAS,0.0,1.0
0.0,1.0,1.1666666666666667,4.472222222222222,5.638888888888889,2.5,5.555555555555556,3.6666666666666665,1.0,2.0,1,5,MIN,0.0,1.0
4.0,0.0,1.7,4.2,5.9,1.45,3.3,3.4,4.0,4.0,1,5,NYL,1.0,0.0
