awayW,total_first_round_won,total_semis_won,total_wins,total_losses,PostGS,PostMinutes,PostoRebounds,PostdRebounds,PostRebounds,PostAssists,PostSteals,PostBlocks,PostTurnovers,PostPF,PostftAttempted,PostftMade,post_wins,W,L,playoff,year
9.0,0.0,0.0,0.0,0.5,15.0,602.0,30.5,65.5,96.0,53.5,21.5,12.5,32.5,48.0,57.0,45.0,0.5,1.0,4.0,1,4
4.5,0.0,0.0,0.0,0.0,10.666666666666668,414.83333333333337,35.333333333333336,48.5,83.83333333333333,27.666666666666664,11.5,6.0,29.33333333333333,32.166666666666664,39.33333333333333,27.833333333333336,0.5,0.0,0.0,0,4
12.5,2.0,2.0,6.0,0.0,30.5,1259.5,61.0,163.5,224.5,132.5,57.0,41.5,89.0,128.0,122.0,91.5,6.0,12.0,1.0,1,4
4.5,0.0,0.0,0.0,0.0,1.5,54.5,2.0,3.0,5.0,2.0,2.5,0.0,4.0,5.5,5.5,4.5,0.0,0.0,0.0,1,4
8.0,2.0,1.0,0.0,0.0,38.0,1369.0,55.0,135.5,190.5,112.5,44.0,14.0,76.5,100.0,108.0,78.0,3.5,0.0,0.0,0,4
2.0,0.0,0.0,0.0,0.0,0.0,35.5,3.5,6.0,9.5,1.5,0.5,0.0,4.0,0.5,3.0,1.0,0.0,0.0,0.0,0,4
6.0,1.0,0.0,2.0,1.0,10.0,396.5,23.0,40.0,63.0,35.0,12.5,8.0,21.5,34.0,47.0,38.0,1.5,3.0,2.0,1,4
6.0,0.0,0.0,0.0,0.0,7.166666666666667,313.8333333333333,8.333333333333334,21.0,29.33333333333333,24.666666666666664,13.5,4.333333333333333,17.166666666666668,24.83333333333333,24.166666666666668,20.666666666666668,2.0,0.0,0.0,0,4
5.0,1.0,0.0,0.0,0.0,13.5,545.5,23.83333333333333,45.0,68.83333333333333,55.833333333333336,14.333333333333332,4.5,23.666666666666668,49.16666666666667,40.5,31.0,3.0,0.0,0.0,0,4
6.0,0.0,0.0,0.0,0.0,11.5,401.5,22.5,43.0,65.5,28.0,12.0,5.5,30.0,34.5,25.0,18.5,0.0,0.0,0.0,0,5
8.0,1.0,0.0,2.0,0.0,6.0,256.8333333333333,8.333333333333334,27.166666666666664,35.5,16.5,8.0,3.5,9.833333333333332,26.0,23.0,18.666666666666668,2.0,2.0,2.0,1,5
7.0,1.0,1.0,6.0,0.0,22.666666666666668,808.3333333333334,55.5,115.5,171.0,56.66666666666666,25.666666666666668,21.333333333333336,48.16666666666666,78.0,84.66666666666667,67.83333333333333,3.0,6.0,2.0,1,5
8.0,0.0,0.0,0.0,0.0,9.0,519.0,30.5,63.0,93.5,39.5,21.5,14.0,32.0,46.0,47.0,37.0,1.0,0.0,0.0,0,5
5.5,0.0,0.0,0.0,0.0,5.5,237.5,21.0,32.0,53.0,13.0,6.5,5.5,13.5,23.0,28.5,19.5,0.0,0.0,0.0,0,5
